B1,B4-6,D1,E11a,A1,opinionated,A3
8,8,18,2,4,0,very positive
6,12,18,2,4,0,not positive
6,12,12,2,4,1,not positive
5,13,18,2,4,1,positive
7,13,23,3,4,1,not positive
8,9,18,1,2,1,not positive
7,12,15,1,2,0,not positive
6,4,18,1,4,0,very positive
7,5,14,1,4,0,positive
8,3,9,3,2,0,positive
8,4,8,1,4,1,very positive
7,5,18,2,2,0,not positive
7,10,11,2,2,0,not positive
6,14,12,2,4,0,very positive
7,4,7,2,2,1,positive
6,3,12,2,4,0,very positive
8,4,7,2,5,1,very positive
7,7,11,1,4,1,positive
7,4,9,2,2,1,not positive
7,4,12,2,4,0,positive
6,9,6,1,4,1,very positive
8,5,13,2,4,0,positive
7,5,13,3,4,0,not positive
8,12,8,2,4,1,very positive
7,4,7,1,4,0,very positive
6,10,9,1,4,1,not positive
7,13,15,2,4,0,not positive
7,7,14,2,4,0,not positive
8,4,7,1,4,1,very positive
7,5,11,2,4,0,very positive
8,7,10,3,4,1,very positive
7,5,7,1,4,0,very positive
7,13,15,2,4,0,not positive
6,12,19,3,4,1,positive
7,3,19,2,4,0,not positive
7,13,17,2,4,0,positive
7,5,8,1,4,1,very positive
7,4,14,3,2,1,not positive
7,12,17,1,1,0,not positive
